0,Доля_детей_5-18 лет,Естесственный_прирост_населения,Количество_малых_и_средних_предприятий,Миграционный_прирост_населения,Общий_коэффициент_рождаемости,Общий_коэффициент_смертности,Площадь_жилых_помещений_на_1_жителя,Процент_парков_и_лесов_от_площади,Процент_работающих_в_малом_и_среднем_бизнесе,Средняя_зарплата_сотрудников_крупных_организаций,Стоимость_съема_квартиры_площадью_в_40_м2,Цена_за_квадратный_метр_жилья_медианная,Выдано_разрешений_на_строительство,Численность_населения
район Текстильщики,11.58,0.6,274.5,3.84,10.0,9.4,15.4,2.791644989,55.45,78963.72195,31827.5,149147.699,0,104700
район Тёплый Стан,11.09,-0.3,123.56,-4.96,7.7,8.0,18.8,73.00700029,51.88,73448.08288,33241.0,162857.1429,5,134100
Тимирязевский район,13.34,-4.7,307.47,8.68,7.0,11.7,19.5,59.46626615,49.5,97447.48919,35000.0,234165.8342,4,83500
Тропарёво-Никулино,11.32,1.5,220.86,27.32,7.9,6.4,23.9,26.42652774,30.88,94605.74764,35000.0,210643.0155,12,122600
район Филёвский Парк,8.59,0.2,425.99,21.3,7.5,7.3,16.6,15.77062117,32.86,78630.0982,40000.0,216320.5128,6,92500
район Фили-Давыдково,13.13,-3.8,180.57,1.15,6.2,10.0,18.5,7.059953087,54.22,95052.95137,36667.0,200000.0,4,114700
район Хамовники,12.71,2.6,759.87,12.24,10.4,7.8,25.5,6.426418857,25.83,103553.4164,51556.0,380882.3529,29,108300
район Ховрино,9.4,-3.4,292.88,-3.86,7.6,11.0,22.9,10.30458968,35.8,60976.26587,30769.0,155932.2034,2,86600
район Хорошёво-Мнёвники,13.47,1.9,222.64,8.45,9.8,7.9,18.4,21.83911792,49.49,86439.44501,35294.0,203246.1716,9,171600
Хорошёвский район,15.55,3.0,641.53,15.17,11.6,8.6,32.3,6.464250105,21.98,101004.5184,43353.0,223390.4393,4,69400
район Царицыно,8.57,-0.5,237.3,34.54,10.8,11.3,14.6,3.303209726,58.96,73829.00657,31579.0,152777.7778,2,128600
район Черёмушки,11.07,0.5,287.89,11.05,7.6,7.1,21.8,7.153167212,24.29,141786.7385,35789.0,200661.6277,2,108600
район Чертаново Северное,11.2,-0.3,183.88,9.84,6.6,6.9,17.2,5.165666953,42.73,83402.98755,33333.0,168750.0,2,114500
район Чертаново Центральное,13.79,0.0,185.35,8.59,7.3,7.3,16.5,4.56824363,62.64,60490.95753,31992.0,154285.7143,3,116600
район Чертаново Южное,11.07,-4.0,141.37,9.53,8.7,12.7,16.5,14.8885402,54.38,70183.89237,32000.0,148900.9662,10,149200
район Щукино,12.42,-4.3,342.93,16.56,7.0,11.3,19.6,14.31119325,30.7,83412.48168,36364.0,216458.078,5,109800
район Южное Бутово,14.35,10.3,184.84,11.02,16.3,6.0,22.6,12.68856076,73.1,66002.72121,26230.0,126436.7816,23,206500
район Южное Медведково,11.34,4.9,127.88,21.86,13.5,8.6,17.5,1.272987556,46.85,60416.62235,30303.0,150700.0,7,85300
район Южное Тушино,11.05,-2.2,273.21,-2.3,7.8,10.0,16.5,25.99612035,50.69,73835.01433,32000.0,161308.2683,3,108600
Южнопортовый район,12.1,-0.5,396.6,4.87,7.2,7.7,18.8,1.180671572,45.39,79492.02311,37611.5,191876.0101,1,74200
район Якиманка,12.0,-1.5,1870.21,15.01,5.1,6.6,30.1,29.87454866,27.64,165957.9102,52632.0,296005.291,6,27500
Ярославский район,14.06,-2.8,202.02,5.2,7.0,9.8,15.0,7.910843434,48.89,70761.85133,29744.0,141025.641,1,97500
район Ясенево,12.29,-1.6,173.05,18.32,7.8,9.4,17.4,9.922976631,46.98,67892.40493,31034.0,153535.9949,3,177700
